year_month,n_reviews,avg_compound,avg_pos,avg_neg,pct_positive,pct_negative,pct_neutral,avg_star_rating,year_month_str,date
2018-01,3,0.962,0.187,0.026,100.0,0.0,0.0,4.667,2018-01,2018-01-01
2018-02,1,0.794,0.154,0.07,100.0,0.0,0.0,3.0,2018-02,2018-02-01
2018-03,2,0.935,0.216,0.034,100.0,0.0,0.0,3.5,2018-03,2018-03-01
2018-04,3,0.535,0.16,0.074,66.667,33.333,0.0,2.667,2018-04,2018-04-01
2018-05,4,0.974,0.211,0.042,100.0,0.0,0.0,3.25,2018-05,2018-05-01
2018-06,2,0.009,0.096,0.094,50.0,50.0,0.0,2.5,2018-06,2018-06-01
2018-07,5,0.585,0.197,0.056,80.0,20.0,0.0,3.6,2018-07,2018-07-01
2018-08,8,0.49,0.241,0.067,75.0,25.0,0.0,3.125,2018-08,2018-08-01
2018-09,2,0.958,0.207,0.026,100.0,0.0,0.0,5.0,2018-09,2018-09-01
2018-10,3,0.97,0.222,0.05,100.0,0.0,0.0,3.667,2018-10,2018-10-01
2018-11,3,0.951,0.176,0.011,100.0,0.0,0.0,4.667,2018-11,2018-11-01
2018-12,8,0.609,0.2,0.049,75.0,25.0,0.0,3.125,2018-12,2018-12-01
2019-01,4,0.517,0.254,0.039,75.0,25.0,0.0,3.5,2019-01,2019-01-01
2019-02,13,0.761,0.255,0.056,84.615,7.692,7.692,4.538,2019-02,2019-02-01
2019-03,3,0.432,0.237,0.046,66.667,33.333,0.0,3.667,2019-03,2019-03-01
2019-04,1,1.0,0.196,0.017,100.0,0.0,0.0,5.0,2019-04,2019-04-01
2019-05,9,0.956,0.314,0.011,100.0,0.0,0.0,4.778,2019-05,2019-05-01
2019-06,5,0.957,0.296,0.015,100.0,0.0,0.0,4.6,2019-06,2019-06-01
2019-07,7,0.985,0.362,0.011,100.0,0.0,0.0,4.429,2019-07,2019-07-01
2019-08,6,0.853,0.265,0.031,100.0,0.0,0.0,4.0,2019-08,2019-08-01
